Business Name,Primary Contact,Phone,Email,City,Job Title,Contact LinkedIn,Website,Full Address,Type,Quadrant,Company Social,Personal Instagram,Status,Notes
Enhanced beauty + wellness,,,,Calgary,,,,,,,,,,Enhanced beauty + wellness (Brittany works here contact)
Calgary MD aesthetics,,,,Calgary,,,,,,,,,,Calgary MD aesthetics - saif has spoken with doctor
Glass Skin Laser Boutique,,,,Calgary,,,,,,,,,Interested,Glass skin laser boutique (12 pm) ***
Aisthetikos Wellness & Advanced Medical Aesthetics,,,,Calgary,,,,,,,,,Interested,Aisthetikos - introduce they have neo *** email anyway to introduce
PHI Medical Aesthetics,,,,Calgary,,,,,,,,,,Phi medical aesthetics
Elante rejuvenation,,,,Calgary,,,,,,,,,Interested,Elante rejuvenation ***
GLO Antiaging Treatment Bar,,,,Calgary,,,,,,,,,,Glo antiaging treatment bar
Skin clinics,,,,Calgary,,,,,,,,,,Skin clinics - chelsea
JRAD SKIN,,,,Calgary,,,,,,,,,,Jrad skin *
Aesthetics Pro by Mission Health Endermologie Centre,,,,Calgary,,,,,,,,,,Aesthetics pro by mission health
Bardot beauty,,,,Calgary,,,,,,,,,,Bardot beauty
Pure medical aesthetics,,,,Calgary,,,,,,,,,,Pure medical aesthetics
Eira laser inc,,,,Calgary,,,,,,,,,,Eira laser inc SAME BUILDING AS JADE AND ABOVE MM CLINIC
Oval beauty bar and laser clinic,,,,Calgary,,,,,,,,,,Oval beauty bar and laser clinic
Papillon Medical Dermatology,,,,Calgary,,,,,,,,,Interested,Papillon Medical Dermatology. *** interested
Avona medical aesthetics,,,,Calgary,,,,,,,,,,Avona medical aesthetics / sknn aesthetics (nevana)
Zen laser and skin calgary,,,,Calgary,,,,,,,,,Interested,Zen laser and skin calgary *** went to arts place dinner VERY INTERESTED
Natology,,,,Calgary,,,,,,,,,,Natology - saw oct 9
The loft laser and skin aesthetics,,,,Calgary,,,,,,,,,Interested,The loft laser and skin aesthetics *** interested
Vivi aesthetics + spa,,,,Calgary,,,,,,,,Meeting Scheduled,Vivi aesthetics + spa x2 locations (yyc and yeg) ** meeting TBA
Skin lab yyc,,,,Calgary,,,,,,,,,,Skin lab yyc
Xthetics face and body sculpt,,,,Calgary,,,,,,,,,Interested,Xthetics face and body sculpt. *** interested
Franks by Frida Beauty Bar,,,,Calgary,,,,,,,,,,Franks By Frida - dropped info off
Face skin and body bar,,,,Calgary,,,,,,,,,Interested,Face skin and body bar *** interested
D & M treatments medispa,,,,Calgary,,,,,,,,,,D & M treatments medispa
Fade away laser and skin centre,,,,Calgary,,,,,,,,,,Fade away laser and skin centre
Yyc botox & fillers,,,,Calgary,,,,,,,,,,Yyc botox & fillers - had demo with saif
Calgary laser health and beauty,,,,Calgary,,,,,,,,,Follow-up Needed,Calgary laser health and beauty - not there
Visor medi spa and boutique,,,,Calgary,,,,,,,,,Follow-up Needed,Visor medi spa and boutique - not there
Live younger,,,,Calgary,,,,,,,,,,Live younger - Hanna and dr. Iyer - not ready to bring in capital
