Business Name,Primary Contact,Phone,Email,City,Job Title,Contact LinkedIn,Website,Full Address,Type,Quadrant,Company Social,Personal Instagram,Status,Notes
The Skin standard medspa,,,,Sherwood Park,,,,,,,,,,The Skin standard medspa
Refresh medispa,,,,Sherwood Park,,,,,,,,,Interested,Refresh medispa ** Lorna interested not there left info
Skin pro esthetic,,,,Sherwood Park,,,,,,,,,Follow-up Needed,Skin pro esthetic - Robin not there left info
Smooth secret,,,smoothsecretrn@gmail.com,Sherwood Park,,,,,,,,,Interested,Smooth secret - *** not interested called she hung up on me  jo-lynn
Dermalux medical aesthetics,,,,Sherwood Park,,,,,,,,,,Dermalux medical aesthetics
Lotus laser & skin rejuvenation,,,,Sherwood Park,,,,,,,,,,Lotus laser & skin rejuvenation - pink owner has spoken with saif
Hemingway medical spa inc,,,,Sherwood Park,,,,,,,,,,Hemingway medical spa inc
The laser room sherwood park,,,,Sherwood Park,,,,,,,,,,The laser room sherwood park
International academy of esthetics & sherwood park laser clinic,,,,Sherwood Park,,,,,,,,,,International academy of esthetics & sherwood park laser clinic (same location)
Beauty rewind,,,,Sherwood Park,,,,,,,,,,Beauty rewind
Excellence medical & skin clinic,,,,Sherwood Park,,,,,,,,,,Excellence medical & skin clinic
Medskin laser center,,,,Sherwood Park,,,,,,,,,,Medskin laser center
Poke beauty dermal aesthetics,,,,Sherwood Park,,,,,,,,,,Poke beauty dermal aesthetics
YEG esthetics skin studio / THE FORMULA skin & wellness studio,,,,Sherwood Park,,,,,,,,,,YEG esthetics skin studio / THE FORMULA skin & wellness studio
Skin effect laser and medical,,,,Sherwood Park,,,,,,,,,,Skin effect laser and medical
Urban lasers & aesthetics,,,,Sherwood Park,,,,,,,,,,Urban lasers & aesthetics - wasn't there july 11th sherwood park
Sherwood Park,,,,Sherwood Park,,,,,,,,,,Sherwood Park (tues nov 4)
Park dermatology,,,,Sherwood Park,,,,,,,,,,Park dermatology
Lum̩ aesthetics,,,,Sherwood Park,,,,,,,,,,Lum̩ aesthetics
Ethemba health,,,,Sherwood Park,,,,,,,,,,Ethemba health** dr. Taher is on it. - dont stop by again didnt take info said contact head of dermapure
Boho bliss,,,,Sherwood Park,,,,,,,,,,Boho bliss - brie
Lunella studio,,,,Sherwood Park,,,,,,,,,,Lunella studio - NEW NO LASERS YET
Adore beauty,,,admin@adorebeaute.ca,Sherwood Park,,,,,,,,,,Adore beauty -
True balance sherwood park,,,,Sherwood Park,,,,,,,,,,True balance sherwood park - spoke with margarita from st. Albert
Ali Aesthetics,INSIDE LOTUS,,,Sherwood Park,,,,,,,,,,Ali Aesthetics (INSIDE LOTUS)
Park Dermatology,Dr. Chuck Lortie,780-784-3347,parkderminfo@gmail.com,Sherwood Park,,,,,Dermatology,,,,,
