Business Name,Primary Contact,Phone,Email,City,Job Title,Contact LinkedIn,Website,Full Address,Type,Quadrant,Company Social,Personal Instagram,Status,Notes
Enhanced beauty + wellness,,,,Calgary,,,,,,,,,,Enhanced beauty + wellness (Brittany works here contact)
Calgary MD aesthetics,,,,Calgary,,,,,,,,,,Calgary MD aesthetics - saif has spoken with doctor
Glass Skin Laser Boutique,,,,Calgary,,,,,,,,,Interested,Glass skin laser boutique (12 pm) ***
Aisthetikos Wellness & Advanced Medical Aesthetics,,,,Calgary,,,,,,,,,Interested,Aisthetikos - introduce they have neo *** email anyway to introduce
PHI Medical Aesthetics,,,,Calgary,,,,,,,,,,Phi medical aesthetics
Elante rejuvenation,,,,Calgary,,,,,,,,,Interested,Elante rejuvenation ***
GLO Antiaging Treatment Bar,,,,Calgary,,,,,,,,,,Glo antiaging treatment bar
Skin clinics,,,,Calgary,,,,,,,,,,Skin clinics - chelsea
JRAD SKIN,,,,Calgary,,,,,,,,,,Jrad skin *
Aesthetics Pro by Mission Health,,,,Calgary,,,,,,,,,,Aesthetics pro by mission health
Bardot beauty,,,,Calgary,,,,,,,,,,Bardot beauty
Pure medical aesthetics,,,,Calgary,,,,,,,,,,Pure medical aesthetics
Eira laser inc,,,,Calgary,,,,,,,,,,Eira laser inc
Oval beauty bar and laser clinic,,,,Calgary,,,,,,,,,,Oval beauty bar and laser clinic
Papillon Medical Dermatology,,,,Calgary,,,,,,,,,Interested,Papillon Medical Dermatology *** interested
Avona medical aesthetics,,,,Calgary,,,,,,,,,,Avona medical aesthetics
Zen laser and skin calgary,,,,Calgary,,,,,,,,,Interested,Zen laser and skin calgary *** VERY INTERESTED
Natology,,,,Calgary,,,,,,,,,,Natology - saw oct 9
The loft laser and skin aesthetics,,,,Calgary,,,,,,,,,Interested,The loft laser and skin aesthetics *** interested
Vivi aesthetics + spa,,,,Calgary,,,,,,,,Meeting Scheduled,Vivi aesthetics + spa x2 locations
Skin lab yyc,,,,Calgary,,,,,,,,,,Skin lab yyc
Xthetics face and body sculpt,,,,Calgary,,,,,,,,,Interested,Xthetics face and body sculpt *** interested
Franks by Frida Beauty Bar,,,,Calgary,,,,,,,,,,Franks By Frida - dropped info off
Face skin and body bar,,,,Calgary,,,,,,,,,Interested,Face skin and body bar *** interested
D & M treatments medispa,,,,Calgary,,,,,,,,,,D & M treatments medispa
Fade away laser and skin centre,,,,Calgary,,,,,,,,,,Fade away laser and skin centre
Yyc botox & fillers,,,,Calgary,,,,,,,,,,Yyc botox & fillers
Calgary laser health and beauty,,,,Calgary,,,,,,,,,Follow-up Needed,Calgary laser health and beauty - not there
Visor medi spa and boutique,,,,Calgary,,,,,,,,,Follow-up Needed,Visor medi spa and boutique - not there
Live younger,,,,Calgary,,,,,,,,,,Live younger
New skin yyc,,,,Calgary,,,,,,,,,,New skin yyc
Britannia dermedics,,,,Calgary,,,,,,,,,,Britannia dermedics
Dr. Farrah yau plastic surgeon,,,,Calgary,,,,,,,,,,Dr. Farrah yau plastic surgeon
Zulu medical cosmetics,,,,Calgary,,,,,,,,,,Zulu medical cosmetics
Skin laser genesis,,,,Calgary,,,,,,,,,,Skin laser genesis
The symm label,,,,Calgary,,,,,,,,,,The symm label
Skinscience inc,,,,Calgary,,,,,,,,,,Skinscience inc
Canada skin and laser clinic,,,,Calgary,,,,,,,,,,Canada skin and laser clinic
Lumi glow laser,,,,Calgary,,,,,,,,,,Lumi glow laser
Sapphire spa and laser,,,,Calgary,,,,,,,,,,Sapphire spa and laser
Remington laser dermatology centre,,,,Calgary,,,,,,,,,,Remington laser dermatology centre
Envy beauty lab and laser,,,,Calgary,,,,,,,,,,Envy beauty lab and laser
Refirm,,,,Calgary,,,,,,,,,,Refirm
Rejuvenation dermatology,,,,Calgary,,,,,,,,,,Rejuvenation dermatology
Beauty edit medical aesthetics,,,,Calgary,,,,,,,,,,Beauty edit medical aesthetics
Essence wellness clinic,,,,Calgary,,,,,,,,,,Essence wellness clinic
Thermae,,,,Calgary,,,,,,,,,Meeting Scheduled,Meeting with Thermae - Peggy
The aesthetic atelier,,,,Calgary,,,,,,,,,,The aesthetic atelier - event
Dermapure wildwood,,,,Calgary,,,,,,,,,,Dermapure wildwood
Noir medical aesthetics,,,,Calgary,,,,,,,,,,Noir medical aesthetics
Vitality skin bar,,,,Calgary,,,,,,,,,,Vitality skin bar
Evergreen cosmetic,,,,Calgary,,,,,,,,,,Evergreen cosmetic
Genuvis beauty,,,,Calgary,,,,,,,,,Interested,Genuvis beauty *** USES ZENA ALGAE
Best skin beauty clinic,,,,Calgary,,,,,,,,,,Best skin beauty clinic ** has neo
Oasis skin institute,,,,Calgary,,,,,,,,,,Oasis skin institute
Beauty call medical aesthetics,,,,Calgary,,,,,,,,,,Beauty call medical aesthetics
yyc beauty lounge,,,,Calgary,,,,,,,,,Follow-up Needed,yyc beauty lounge
Tarora rejuvenation,,,,Calgary,,,,,,,,,,Tarora rejuvenation
Innovative aesthetics solutions,,,,Calgary,,,,,,,,,Interested,Innovative aesthetics solutions ****
The spa ritual,,,,Calgary,,,,,,,,,,The spa ritual
The longevity lab,,,,Calgary,,,,,,,,,,The longevity lab
Northwest dermatology,,,,Calgary,,,,,,,,,Interested,Northwest dermatology ****
Beauty maker institute,,,,Calgary,,,,,,,,,,Beauty maker institute & medi spa
Born beautiful laser clinic,,,,Calgary,,,,,,,,,,Born beautiful laser clinic
Vanity skin laser inc,,,,Calgary,,,,,,,,,,Vanity skin laser inc
Glow up lab,,,,Calgary,,,,,,,,,,Glow up lab
Coco laser and skin,,,,Calgary,,,,,,,,,,Coco laser and skin
MLE spa & integrative wellness,,,,Calgary,,,,,,,,,,MLE spa & integrative wellness
Freya medispa & wellness,,,,Calgary,,,,,,,,,Interested,Freya medispa & wellness ****
Cool laser skin clinic,,,,Calgary,,,,,,,,,,Cool laser skin clinic
Century derma lounge,,,,Calgary,,,,,,,,,,Century derma lounge
UNIMED skincare & laser clinic,,,,Calgary,,,,,,,,,,UNIMED skincare & laser clinic
LilyDermis,,,,Calgary,,,,,,,,,Has Device,LilyDermis - bought sharplight
Skinnovation laser aesthetics,,,,Calgary,,,,,,,,,,Skinnovation laser aesthetics
Skin clinical calgary,,,,Calgary,,,,,,,,,,Skin clinical calgary
Elysian laser and aesthetics,,,,Calgary,,,,,,,,,,Elysian laser and aesthetics
Lavana medical aesthetics,,,,Calgary,,,,,,,,,,Lavana medical aesthetics
Renew glow laser,,,,Calgary,,,,,,,,,,Renew glow laser
Dr. Adrian Gili and kali,,,,Calgary,,,,,,,,,,Dr. Adrian Gili and kali
Aesthetica Maria,,,,Calgary,,,,,,,,,Interested,Aesthetica Maria ****
MoDerm Laser and Aesthetics,,,,Calgary,,,,,,,,,,MoDerm Laser and Aesthetics
The laser lab,,,,Calgary,,,,,,,,,,The laser lab
Eternal beauty institute,,,,Calgary,,,,,,,,,,Eternal beauty institute
Glow up by Maryam,,,,Calgary,,,,,,,,,,Glow up by Maryam
Fly medi spa,,,,Calgary,,,,,,,,,,Fly medi spa
Calgary hair loss and laser center,,,,Calgary,,,,,,,,,,Calgary hair loss and laser center
Celine laser hair removal,,,,Calgary,,,,,,,,,,Celine laser hair removal
Lets face it,,,,Calgary,,,,,,,,,,Lets face it
TT aesthetics yyc,,,,Calgary,,,,,,,,,,TT aesthetics yyc
Cityscape Square Medical Clinic,,,,Calgary,,,,,,,,,,Cityscape Square Medical Clinic
Elite aesthetics,,,,Calgary,,,,,,,,,,Elite aesthetics
3d lifestyle medical aesthetics,,,,Calgary,,,,,,,,,,3d lifestyle medical aesthetics
Lavish beauty laser med spa,,,,Calgary,,,,,,,,,,Lavish beauty laser med spa
YHVH medical and aesthetic clinic,,,,Calgary,,,,,,,,,Interested,YHVH medical and aesthetic clinic ****
DermaKarma laser spa,,,,Calgary,,,,,,,,,,DermaKarma laser spa
Skin Laser Bar,,,,Calgary,,,,,,,,,,Skin Laser Bar
G's aesthetic room,,,,Calgary,,,,,,,,,,G's aesthetic room
One medical aesthetics,,,,Calgary,,,,,,,,,,One medical aesthetics
Marvys skin care laser,,,,Calgary,,,,,,,,,,Marvys skin care laser
