Business Name,Primary Contact,Phone,Email,City,Job Title,Contact LinkedIn,Website,Full Address,Type,Quadrant,Company Social,Personal Instagram,Status,Notes
Lethbridge plastic surgery,,,,Lethbridge,,,,,,,,,,Lethbridge plastic surgery - dr. Secretan 830 - 4 - left info grabbed email
Vp health,,,,Lethbridge,,,,,,,,,,Vp health - naturopathic / women's health / pcos 8-4 (emailed) left info
Alis skin and laser - DONT NEED THIS ONE THEY MERGED WITH MODERN AESTHETICS BELOW,,,,Lethbridge,,,,,,,,,Interested,Alis skin and laser 9-5 (emailed) left info *** interested in meeting
Prim health and beauty,have sciton,,,Lethbridge,,,,,,,,,,Prim health and beauty (have sciton) - jerilyn (owner) & Kristi (GM) 9-9 (emailed) left info
Bliss beauty bar 10,,,,Lethbridge,,,,,,,,,Interested,Bliss beauty bar 10-5 - Stevie interested***
Electric skin clinic ?? Emailed kaelee interested,had been in contact with saif,,,Lethbridge,,,,,,,,,Interested,Electric skin clinic ?? Emailed kaelee interested***  (had been in contact with saif)
Bellaskin and laser spa inc 10,not there left info,,,Lethbridge,,,,,,,,,Follow-up Needed,Bellaskin and laser spa inc 10-6 emailed (not there left info)
Luna rx beauty ??,NOT THERE couldnt leave info,,,Lethbridge,,,,,,,,,Follow-up Needed,Luna rx beauty ?? (NOT THERE couldnt leave info)
Max + wellness skincare ?? Emailed,,,,Lethbridge,,,,,,,,,Interested,Max + wellness skincare ?? Emailed ** may be interested - has cousin in creston who owns clinic and her laser just died and company didnt do anything for her
Six 08 health 730,,,,Lethbridge,,,,,,,,,Interested,Six 08 health 730-8 emailed *** might be interested only offering IPL right now
Glow medical aesthetics 4037952012 left info not there,,,,Lethbridge,,,,,,,,,Follow-up Needed,Glow medical aesthetics 4037952012 left info not there
Lime beauty,,,,Lethbridge,,,,,,,,,,Lime beauty
Modern Aesthetics,,,,Lethbridge,,,,,,,,,,
The Skin Club,,,,Lethbridge,,,,,,,,,,
Re-Zen Esthetics Clinic & Spa,,,,Lethbridge,,,,,,,,,,
Luminova Skin Laser,,,,Lethbridge,,,,,,,,,,
