Business Name,Primary Contact,Phone,Email,City,Job Title,Contact LinkedIn,Website,Full Address,Type,Quadrant,Company Social,Personal Instagram,Status,Notes
Premier health 9,,+1 403-995-4055,,Okotoks,,,https://www.premier-health.ca/,"116 Southbank Blvd, Okotoks, AB T1S 0K4, Canada",Doctor,,https://www.instagram.com/reel/DSD1u5mkog3/,,,Premier health 9-12/1-4
Faces dermatology skin care 9,,+1 403-818-1307,kerry@facesfirst.com,Okotoks,,,https://www.facesdermskincare.ca/,"#111, 109 Southbank Blvd, Okotoks, AB T1S 0K4, Canada",Skin care clinic,,https://www.facebook.com/media/set/?vanity=FacesBeautyIsPower&set=a.566028578897056,,,Faces dermatology skin care 9-8
Faces dermatology skin care 9,,+1 403-818-1307,info@facesfirst.com,Okotoks,,,https://www.facesdermskincare.ca/,"#111, 109 Southbank Blvd, Okotoks, AB T1S 0K4, Canada",Skin care clinic,,https://www.facebook.com/media/set/?vanity=FacesBeautyIsPower&set=a.566028578897056,,,Faces dermatology skin care 9-8
Skinvisible laser & aesthetics,,+1 403-899-5276,info@glow-ology.ca,Okotoks,,,https://www.glowologylaser.com/,"2 Elma St W #204, Okotoks, AB T1S 1J7, Canada",Laser hair removal service,,https://www.instagram.com/skinvisiblelaser/,,Follow-up Needed,Skinvisible laser & aesthetics ** not there
True beauty electrolysis,,+1 587-578-8783,,Okotoks,,,https://truebeautyelectrolysis.com/,"278 Mountainview Dr, Okotoks, AB T1S 0M6, Canada",Electrolysis hair removal service,,https://www.instagram.com/truebeautyelectrolysis/,,Interested,True beauty electrolysis - shauna 9-5 *** not there
Unity collective studios,,+1 403-992-0939,,Okotoks,,,https://www.unitycollectivestudios.com/,"49 Elma St W #101, Okotoks, AB T1S 1J7, Canada",Medical spa,,https://www.instagram.com/unity.collective.studios/,,Interested,Unity collective studios - Ciara 10-2 ***
The new you laser skin care?? 830,,,,Okotoks,,,,,,,https://www.instagram.com/reel/DSLGwtKEtmv/,,,The new you laser skin care?? 830-4
Sweet skin by Ivana 10,,+1 587-896-7546,,Okotoks,,,https://www.sweetskinbyivana.ca/,"56 McRae St, Okotoks, AB T1S 1A7, Canada",Day spa,,https://www.instagram.com/sweetskinbyivana/,,Interested,Sweet skin by Ivana 10-4 Ivana ***
Glowology laser & esthetics,,+1 403-899-5276,info@glow-ology.ca,Okotoks,,,https://www.glowologylaser.com/,"2 Elma St W #204, Okotoks, AB T1S 1J7, Canada",Laser hair removal service,,https://www.instagram.com/glowologylaser/,,,Glowology laser & esthetics
Hello beautiful skin studio,,+1 403-651-5662,cher@helloskin.ca,Okotoks,,,http://hellobeautifulskinstudio.ca/,"4 Cameron Close, Okotoks, AB T1S 2E8, Canada",Skin care clinic,,https://www.instagram.com/hellobeautifulskinstudio.ca/,,,Hello beautiful skin studio
Tenfifteen medical aesthetics,,+1 587-899-2109,,Okotoks,,,http://1015medical.ca/,"106 Southbank Road #301, Okotoks, AB T0L 0A0, Canada",Medical spa,,https://www.instagram.com/tenfifteenmedicalaesthetics/,,Interested,Tenfifteen medical aesthetics *** Victoria 9-5
Rejuvenation dermatology dr. Fraser 9,,+1 587-443-9500,aragoni@rejuv.ca,Okotoks,,,https://rejuv.ca/okotoks,"10 D’arcy Ranch Dr #102, Okotoks, AB T1S 5V9, Canada",Dermatologist,,https://www.facebook.com/preciousqueen.2k17/photos/d41d8cd9/4171503106450963/,,Interested,Rejuvenation dermatology dr. Fraser 9-430 ***
Rejuvenation dermatology dr. Fraser 9,,+1 587-443-9500,kennedye@rejuv.ca,Okotoks,,,https://rejuv.ca/okotoks,"10 D’arcy Ranch Dr #102, Okotoks, AB T1S 5V9, Canada",Dermatologist,,https://www.facebook.com/preciousqueen.2k17/photos/d41d8cd9/4171503106450963/,,Interested,Rejuvenation dermatology dr. Fraser 9-430 ***
Rejuvenation dermatology dr. Fraser 9,,+1 587-443-9500,antoniol@rejuv.ca,Okotoks,,,https://rejuv.ca/okotoks,"10 D’arcy Ranch Dr #102, Okotoks, AB T1S 5V9, Canada",Dermatologist,,https://www.facebook.com/preciousqueen.2k17/photos/d41d8cd9/4171503106450963/,,Interested,Rejuvenation dermatology dr. Fraser 9-430 ***
Rejuvenation dermatology dr. Fraser 9,,+1 587-443-9500,bedardb@rejuv.ca,Okotoks,,,https://rejuv.ca/okotoks,"10 D’arcy Ranch Dr #102, Okotoks, AB T1S 5V9, Canada",Dermatologist,,https://www.facebook.com/preciousqueen.2k17/photos/d41d8cd9/4171503106450963/,,Interested,Rejuvenation dermatology dr. Fraser 9-430 ***
Rejuvenation dermatology dr. Fraser 9,,+1 587-443-9500,poliniv@rejuv.ca,Okotoks,,,https://rejuv.ca/okotoks,"10 D’arcy Ranch Dr #102, Okotoks, AB T1S 5V9, Canada",Dermatologist,,https://www.facebook.com/preciousqueen.2k17/photos/d41d8cd9/4171503106450963/,,Interested,Rejuvenation dermatology dr. Fraser 9-430 ***
Rejuvenation dermatology dr. Fraser 9,,+1 587-443-9500,manchisig@rejuv.ca,Okotoks,,,https://rejuv.ca/okotoks,"10 D’arcy Ranch Dr #102, Okotoks, AB T1S 5V9, Canada",Dermatologist,,https://www.facebook.com/preciousqueen.2k17/photos/d41d8cd9/4171503106450963/,,Interested,Rejuvenation dermatology dr. Fraser 9-430 ***
Rejuvenation dermatology dr. Fraser 9,,+1 587-443-9500,santibanez-lopezb@rejuv.ca,Okotoks,,,https://rejuv.ca/okotoks,"10 D’arcy Ranch Dr #102, Okotoks, AB T1S 5V9, Canada",Dermatologist,,https://www.facebook.com/preciousqueen.2k17/photos/d41d8cd9/4171503106450963/,,Interested,Rejuvenation dermatology dr. Fraser 9-430 ***
Rejuvenation dermatology dr. Fraser 9,,+1 587-443-9500,mansfielda@rejuv.ca,Okotoks,,,https://rejuv.ca/okotoks,"10 D’arcy Ranch Dr #102, Okotoks, AB T1S 5V9, Canada",Dermatologist,,https://www.facebook.com/preciousqueen.2k17/photos/d41d8cd9/4171503106450963/,,Interested,Rejuvenation dermatology dr. Fraser 9-430 ***
