"Business Name","Primary Contact","Phone","Email","City","Job Title","Contact LinkedIn","Website","Full Address","Type","Quadrant","Company Social","Personal Instagram","Status","Notes"
"The vanity lab","Natasha B","","","Edmonton","","https://ca.linkedin.com/in/natasha-b-55694785","","","","","https://www.instagram.com/thevanitylab/","","","The vanity lab"
"Md skin cosmetic clinic","","","","Edmonton","","","","","","","https://www.instagram.com/mdskin_cosmetic/","","","Md skin cosmetic clinic"
"NV skin","","","","Edmonton","","","","","","","https://www.instagram.com/nv.skin/reels/","","","NV skin"
"Nisa medi spa HAS AEROLASE","","","","Edmonton","","","","","","","https://www.facebook.com/p/Nisa-Medi-Spa-61555292161871/","","Has Device","Nisa medi spa HAS AEROLASE"
"Bespoke beauty by nurse Sheena","Sheena Rajput","","","Edmonton","","https://ca.linkedin.com/in/sheena-rajput-04419015b","","","","","","","","Bespoke beauty by nurse Sheena"
"Advanced skin care clinic","Maraína Bittencourt, MD","","","Edmonton","","https://ca.linkedin.com/in/mara%C3%ADna-bittencourt-md-32b095104","","","","","https://www.instagram.com/advancedskincareyeg/","","","Advanced skin care clinic - ON GATEWAY NEAR hoteL - done"
"Vida dermatology","","","","Edmonton","","","","","","","https://www.instagram.com/vida.dermatology/","","","Vida dermatology"
"Zia cosmetic","Hira Ali","","","Edmonton","","https://ca.linkedin.com/in/hira-ali-949702b3","","","","","https://www.instagram.com/ziacosmeticclinic/","","","Zia cosmetic"
"Youthful you aesthetics and academy","","","","Edmonton","","","","","","","https://www.facebook.com/YouthfulYouAesthetics.yeg/","","","Youthful you aesthetics and academy"
"Dermapure west edmonton","","","","Edmonton","","","","","","","https://www.instagram.com/dermapurewestedmonton/","","","Dermapure west edmonton"
"Jack nathan medspa","","","","Edmonton","","","","","","","","","","Jack nathan medspa"
"Glo skin & medspa","","","","Edmonton","","","","","","","https://www.instagram.com/gloskinmedspa/","","Interested","Glo skin & medspa - interested"
"The confidence code","Soumi Sikder","","","Edmonton","","https://ca.linkedin.com/in/soumi-sikder-57499369","","","","","https://www.instagram.com/theconfidencecode_clinic/","","","The confidence code"
"Neoglow laser and aesthetics","","","","Edmonton","","","","","","","https://www.instagram.com/neoglow_aesthetic_clinic/","","","Neoglow laser and aesthetics"
"Monalisa medical spa","","","","Edmonton","","","","","","","https://www.instagram.com/monalisa.medicalspa/","","","Monalisa medical spa"
"Etanda skin solutions","","","","Edmonton","","","","","","","https://www.instagram.com/explore/locations/438020926381217/etanda-skin-solutions/nearby/","","","Etanda skin solutions"
"Studio you cosmetics","","","","Edmonton","","","","","","","https://www.instagram.com/studioyoucosmetics/","","","Studio you cosmetics - inside sculpt"
"La vie academy / medical academy","","","","Edmonton","","","","","","","https://www.instagram.com/academy_lavie/","","Interested","La vie academy / medical academy - interested***"
"Reversal","Roberto Souza","","","Edmonton","","https://ec.linkedin.com/in/souzaroberto","","","","","","","Interested","Reversal ** clare suggested edmonton - interested**"
"Balwin aesthetics","","","","Edmonton","","","","","","","https://www.instagram.com/balwinaesthetics/","","Interested","Balwin aesthetics - cosmetic surgeon interested**"
"Edmonton Sept 26th","","","","Edmonton","","","","","","","https://www.facebook.com/sandra.trump.77/photos/id-please-at-my-feeder-in-edmonton-sept-26thedit-to-say-its-a-white-throated-spa/1334721134948261/","","","Edmonton Sept 26th"
"NAKATSUI DERMASURGERY","","","","Edmonton","","","","","","","https://www.instagram.com/nakatsuiderm/","","Interested","NAKATSUI DERMASURGERY *** 9am  - DONE"
"Kayu aesthetics 10am","","","","Edmonton","","","","","","","","","","Kayu aesthetics 10am"
"The injectionist","Nika Sanguellini","","","Edmonton","","https://ca.linkedin.com/in/nika-sanguellini-46591153","","","","","https://www.instagram.com/yeginjectionist/","","","The injectionist - nika there this week"
"Albany cosmetic and laser","","","","Edmonton","","","","","","","","","","Albany cosmetic and laser"
"Radiant belle med spa in edmonton / sherwood","thurs","","","Edmonton","","","","","","","","","","Radiant belle med spa in edmonton / sherwood (thurs)"
"Bella vita laser clinic","Houda Alkasm","","","Edmonton","","https://ca.linkedin.com/in/houda-alkasm-34a644a8","","","","","https://www.instagram.com/bellavitalaserclinic/","","Follow-up Needed","Bella vita laser clinic - not there sept 26"
"Reemake studio","Reema Aulakh","","","Edmonton","","https://ca.linkedin.com/in/reema-aulakh-33701b177","","","","","https://www.facebook.com/Reemakestudio/","","Interested","Reemake studio - Reema - Interested"
"Rejuve Derma Glow MediSpa Aesthetic & Laser Centre","","","","Edmonton","","","","","","","","","Interested","Rejuve Derma Glow MediSpa Aesthetic & Laser Centre - Interested"
"ADVANCED SKIN and laser centre","","","","Edmonton","","","","","","","https://www.instagram.com/advancedskincareyeg/","","Interested","ADVANCED SKIN and laser centre *****"
"Bellavera","","","","Edmonton","","","","","","","","","","Bellavera - on gateway - done"
"EIE medispa & laser centre","","","","Edmonton","","","","","","","https://www.facebook.com/EIEMediSpa/","","","EIE medispa & laser centre - done"
"Uniquely you aesthetics and wellness","","","","Edmonton","","","","","","","https://www.instagram.com/uniquelyyouskin/","","","Uniquely you aesthetics and wellness - 10394 105 St Edmonton AB"
"Skin lueur aesthetics and laser centre HAS NEO wants era demo","","","","Edmonton","","","","","","","","","","Skin lueur aesthetics and laser centre HAS NEO wants era demo"
"FaceFX medispa","","","","Edmonton","","","","","","","https://www.instagram.com/face_fx/","","","FaceFX medispa"
"Nakatsui","Greg Nakatsui","","","Edmonton","President","https://ca.linkedin.com/in/greg-nakatsui-27766a32","","","","","https://www.facebook.com/NakatsuiDerm/","","Interested","Nakatsui ****"
"REVERSAL LASER STUDIO","near nakatsui","","","Edmonton","","","","","","","https://www.instagram.com/reversallaserstudio/","","Interested","REVERSAL LASER STUDIO***** (near nakatsui)"
"New skin laser studio","Sonya Morris","","","Edmonton","","https://ca.linkedin.com/in/sonya-morris-5a4b53152","","","","","https://www.instagram.com/newskinlaserstudio/","","Interested","New skin laser studio*** reached out on IG meeting @ 215 (downtown)"
"Bespoke beauty by nurse sheena","","","","Edmonton","","","","","","","","","","Bespoke beauty by nurse sheena"
"Nurse Cassie aesthetics","cassie","","","Edmonton","","","","","","","https://www.instagram.com/nurse_cassie_/","","","Nurse Cassie aesthetics (cassie) citizens salon"
"Celin laser and beauty","celin","","","Edmonton","","","","","","","https://www.facebook.com/p/Celin-Laser-Beauty-61556214646939/","","","Celin laser and beauty (celin) citizens salon"
"Kaavish spa","preetika","","","Edmonton","","","","","","","https://www.facebook.com/p/Kaavish-Spa-100070684673852/","","","Kaavish spa (preetika) citizens salon"
"Edmonton oct 28","","","","Edmonton","","","","","","","https://www.instagram.com/rarmne_blaxkart/","","","Edmonton oct 28"
